,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
2664,165,Filip Stevanovic,18,€8.00m,20/21,Serbia,€8.50m,Left Winger,Partizan,Super liga,Man City U23,Premier League 2,False,8.5
2665,166,Nikola Moro,22,€6.00m,20/21,Croatia,€8.50m,Defensive Midfield,Dinamo Zagreb,SuperSport HNL,Dynamo Moscow,Premier Liga,False,8.5
2666,167,Alberto Grassi,25,€5.50m,20/21,Italy,€8.45m,Defensive Midfield,Napoli,Serie A,Parma,Serie A,False,8.45
2667,168,Matheus Pereira,24,€9.50m,20/21,"Brazil, Portugal",€8.25m,Attacking Midfield,Sporting,Liga NOS,West Brom,Premier League,False,8.25
2668,169,Bouna Sarr,28,€9.00m,20/21,"Senegal, France",€8.00m,Right-Back,Marseille,Ligue 1,Bayern Munich,Bundesliga,False,8.0
2669,170,Yann Karamoh,22,€7.50m,20/21,"France, Cote d'Ivoire",€8.00m,Left Winger,Inter,Serie A,Parma,Serie A,False,8.0
2670,171,Mohamed Fares,24,€7.00m,20/21,"Algeria, France",€8.00m,Left-Back,SPAL,Serie B,Lazio,Serie A,False,8.0
2671,172,Sam Lammers,23,€7.00m,20/21,Netherlands,€8.00m,Centre-Forward,PSV,Eredivisie,Atalanta,Serie A,False,8.0
2672,173,Luis Henrique,18,€5.00m,20/21,Brazil,€8.00m,Right Midfield,Três Passos,Brazil,Marseille,Ligue 1,False,8.0
2673,174,Abel Ruiz,20,€4.50m,20/21,Spain,€8.00m,Centre-Forward,Barcelona B,2ª B - Grupo III,Braga,Liga NOS,False,8.0
2674,175,Terem Moffi,21,€3.00m,20/21,Nigeria,€8.00m,Centre-Forward,KV Kortrijk,JPL,FC Lorient,Ligue 1,False,8.0
2675,176,Bruno Fuchs,21,€1.80m,20/21,Brazil,€8.00m,Centre-Back,Internacional,Série A,CSKA Moscow,Premier Liga,False,8.0
2676,177,Sven Botman,20,€1.30m,20/21,Netherlands,€8.00m,Centre-Back,Ajax U21,Keuken Kampioen Divisie,Lille,Ligue 1,False,8.0
2677,178,Caio Henrique,23,€1.20m,20/21,"Brazil, Spain",€8.00m,Left-Back,Atlético,LaLiga,Monaco,Ligue 1,False,8.0
2678,179,Robson Bambu,22,€800k,20/21,Brazil,€8.00m,Centre-Back,Athletico-PR,Série A,Nice,Ligue 1,False,8.0
2679,180,Elia Petrelli,19,€250k,20/21,Italy,€8.00m,Centre-Forward,Juventus U23,Serie C-A,Genoa,Serie A,False,8.0
2680,181,Franco Tongya,18,-,20/21,"Italy, Cameroon",€8.00m,Left Winger,Juventus U23,Serie C-A,Marseille B,National 2 - Grp. C,False,8.0
2681,182,Alexis Saelemaekers,21,€8.00m,20/21,Belgium,€7.65m,Right Midfield,RSC Anderlecht,JPL,AC Milan,Serie A,False,7.65
2682,183,Matheus Pereira,22,€1.30m,20/21,Brazil,€7.60m,Central Midfield,Juventus U23,Serie C-A,Barcelona B,2ª B - Grupo III,False,7.6
2683,184,Karol Linetty,25,€10.00m,20/21,Poland,€7.50m,Central Midfield,Sampdoria,Serie A,Torino,Serie A,False,7.5
2684,185,Paul Bernardoni,23,€5.50m,20/21,France,€7.50m,Goalkeeper,G. Bordeaux,Ligue 1,Angers SCO,Ligue 1,False,7.5
2685,186,Talles Magno,18,€8.00m,20/21,Brazil,€7.27m,Left Winger,Vasco da Gama,Série B,New York City,MLS,False,7.27
2686,187,Gregor Kobel,22,€4.00m,20/21,Switzerland,€7.20m,Goalkeeper,Hoffenheim,Bundesliga,Stuttgart,Bundesliga,False,7.2
2687,188,Francis Coquelin,29,€14.00m,20/21,"France, Réunion",€7.10m,Defensive Midfield,Valencia,LaLiga,Villarreal,LaLiga,False,7.1
2688,189,Dudu,28,€12.00m,20/21,Brazil,"Loan fee:
€7.00m",Left Winger,Palmeiras,Série A,Al-Duhail SC,Stars League,True,7.0
2689,190,İrfan Can Kahveci,25,€10.00m,20/21,Türkiye,€7.00m,Right Winger,Basaksehir,Süper Lig,Fenerbahçe,Süper Lig,False,7.0
2690,191,Ibrahim Sangaré,22,€9.50m,20/21,Cote d'Ivoire,€7.00m,Defensive Midfield,Toulouse,Ligue 2,PSV,Eredivisie,False,7.0
2691,192,Alexander Schwolow,28,€7.00m,20/21,Germany,€7.00m,Goalkeeper,Freiburg,Bundesliga,Hertha BSC,Bundesliga,False,7.0
2692,193,Luciano Vietto,26,€7.00m,20/21,"Argentina, Italy",€7.00m,Centre-Forward,Sporting,Liga NOS,Al-Hilal,Saudi Pro League,False,7.0
2693,194,Ondrej Duda,25,€7.00m,20/21,Slovakia,€7.00m,Central Midfield,Hertha BSC,Bundesliga,1.FC Köln,Bundesliga,False,7.0
2694,195,Felix Uduokhai,22,€6.80m,20/21,"Germany, Nigeria",€7.00m,Centre-Back,Wolfsburg,Bundesliga,Augsburg,Bundesliga,False,7.0
2695,196,Leonardo Bittencourt,26,€4.80m,20/21,"Germany, Brazil",€7.00m,Central Midfield,Hoffenheim,Bundesliga,Werder Bremen,Bundesliga,False,7.0
2696,197,Mirko Marić,25,€4.50m,20/21,"Croatia, Bosnia-Herzegovina",€7.00m,Centre-Forward,NK Osijek,SuperSport HNL,Monza,Serie B,False,7.0
2697,198,Jordan Lotomba,21,€4.00m,20/21,"Switzerland, DR Congo",€7.00m,Right-Back,Young Boys,Super League,Nice,Ligue 1,False,7.0
2698,199,Amine Gouiri,20,€4.00m,20/21,"Algeria, France",€7.00m,Centre-Forward,Lyon,Ligue 1,Nice,Ligue 1,False,7.0
2699,200,Francesco Cassata,23,€2.50m,20/21,Italy,€7.00m,Central Midfield,Sassuolo,Serie A,Genoa,Serie A,False,7.0
2700,201,Simone Muratore,22,€500k,20/21,Italy,€7.00m,Central Midfield,Juventus,Serie A,Atalanta,Serie A,False,7.0
2701,202,Ciro Palmieri,20,€75k,20/21,Italy,€7.00m,Second Striker,Napoli U19,Primavera 2 - B,LOSC Lille B,N3 - HtsdeFrance,False,7.0
2702,203,Maxime Busi,20,€2.50m,20/21,Belgium,€6.90m,Right-Back,R Charleroi SC,JPL,Parma,Serie A,False,6.9
2703,204,Mikkel Damsgaard,20,€6.50m,20/21,Denmark,€6.75m,Attacking Midfield,Nordsjaelland,Superliga,Sampdoria,Serie A,False,6.75
2704,205,Ante Rebić,26,€32.00m,20/21,Croatia,€6.70m,Left Winger,Frankfurt,Bundesliga,AC Milan,Serie A,False,6.7
2705,206,Mark McKenzie,21,€4.00m,20/21,"United States, Jamaica",€6.62m,Centre-Back,Philadelphia,MLS,Genk,JPL,False,6.62
2706,207,Sebastian Andersson,29,€7.00m,20/21,Sweden,€6.50m,Centre-Forward,Union Berlin,Bundesliga,1.FC Köln,Bundesliga,False,6.5
2707,208,Nahuel Bustos,22,€6.70m,20/21,Argentina,€6.50m,Centre-Forward,CA Talleres,Copa de la Liga (- 23/24),Man City,Premier League,False,6.5
2708,209,Antonio Sanabria,24,€6.50m,20/21,"Paraguay, Spain",€6.50m,Centre-Forward,Real Betis,LaLiga,Torino,Serie A,False,6.5
2709,210,Oliver Burke,23,€4.80m,20/21,Scotland,€6.50m,Centre-Forward,West Brom,Premier League,Sheff Utd,Premier League,False,6.5
2710,211,Illan Meslier,20,€4.50m,20/21,France,€6.50m,Goalkeeper,FC Lorient,Ligue 1,Leeds,Premier League,False,6.5
2711,212,Lucas Veríssimo,25,€4.00m,20/21,Brazil,€6.50m,Centre-Back,Santos,Série A,Benfica,Liga NOS,False,6.5
2712,213,Harrison Reed,25,€2.40m,20/21,England,€6.50m,Central Midfield,Southampton,Premier League,Fulham,Premier League,False,6.5
2713,214,Hernani,26,€5.50m,20/21,Brazil,€6.47m,Central Midfield,Zenit S-Pb,Premier Liga,Parma,Serie A,False,6.47
2714,215,Papu Gómez,32,€15.00m,20/21,"Argentina, Italy",€6.40m,Left Winger,Atalanta,Serie A,Sevilla FC,LaLiga,False,6.4
2715,216,Lucas Robertone,23,€6.50m,20/21,"Argentina, Italy",€6.40m,Central Midfield,Vélez Sarsfield,Copa de la Liga (- 23/24),UD Almería,2ª División,False,6.4
2716,217,Simon Sohm,19,€1.10m,20/21,"Switzerland, Nigeria",€6.40m,Central Midfield,FC Zürich,Super League,Parma,Serie A,False,6.4
2717,218,Marcelino Moreno,25,€4.00m,20/21,Argentina,€6.36m,Attacking Midfield,Lanús,Copa de la Liga (- 23/24),Atlanta,MLS,False,6.36
2718,219,Stephy Mavididi,22,€3.60m,20/21,"England, DR Congo",€6.30m,Left Winger,Juventus U23,Serie C-A,Montpellier,Ligue 1,False,6.3
2719,220,Sergio Rico,27,€8.00m,20/21,Spain,€6.00m,Goalkeeper,Sevilla FC,LaLiga,PSG,Ligue 1,False,6.0
2720,221,Praxedes,19,€5.00m,20/21,Brazil,€6.00m,Central Midfield,Internacional,Série A,RB Bragantino,Série A,False,6.0
2721,222,Jonas Omlin,26,€4.80m,20/21,Switzerland,€6.00m,Goalkeeper,Basel,Super League,Montpellier,Ligue 1,False,6.0
2722,223,Pablo Marí,26,€4.80m,20/21,Spain,€6.00m,Centre-Back,Flamengo,Série A,Arsenal,Premier League,False,6.0
2723,224,Guilherme,29,€4.50m,20/21,"Qatar, Brazil",€6.00m,Defensive Midfield,Olympiacos,Super League 1,Al-Sadd,Stars League,False,6.0
2724,225,Ignatius Ganago,21,€3.60m,20/21,"Cameroon, Nigeria",€6.00m,Centre-Forward,Nice,Ligue 1,Lens,Ligue 1,False,6.0
2725,226,Yan Couto,18,€3.60m,20/21,"Brazil, Portugal",€6.00m,Right Midfield,Coritiba FC,Série A,Man City,Premier League,False,6.0
2726,227,Arthur Cabral,22,€2.70m,20/21,Brazil,€6.00m,Centre-Forward,Palmeiras,Série A,Basel,Super League,False,6.0
2727,228,Núrio Fortuna,25,€2.00m,20/21,"Angola, Portugal",€6.00m,Left-Back,R Charleroi SC,JPL,KAA Gent,JPL,False,6.0
2728,229,Vladimír Coufal,28,€2.00m,20/21,Czech Republic,€6.00m,Right-Back,Slavia Praha,Fortuna Liga,West Ham,Premier League,False,6.0
2729,230,Jorge de Frutos,23,€2.00m,20/21,Spain,€6.00m,Right Winger,Real Madrid,LaLiga,Levante,LaLiga,False,6.0
2730,231,Crysencio Summerville,18,€1.50m,20/21,"Netherlands, Suriname",€6.00m,Left Winger,Feyenoord U19,Netherlands,Leeds United U23,Premier League 2,False,6.0
2731,232,Michael Olunga,26,€950k,20/21,Kenya,€6.00m,Centre-Forward,Kashiwa Reysol,J1 League,Al-Duhail SC,Stars League,False,6.0
2732,233,Diego Rosa,18,-,20/21,Brazil,€6.00m,Defensive Midfield,Grêmio U20,Brazil,Man City,Premier League,False,6.0
2733,234,Yeferson Soteldo,23,€8.00m,20/21,Venezuela,€5.91m,Left Winger,Santos,Série A,Toronto,MLS,False,5.91
2734,235,Juan Fernando Quintero,28,€8.00m,20/21,Colombia,€5.90m,Attacking Midfield,River Plate,Liga Profesional (- 23/24),SZ FC,Super League,False,5.9
2735,236,Levi García,22,€1.80m,20/21,Trinidad and Tobago,€5.90m,Centre-Forward,B. Jerusalem,Ligat ha'Al,AEK Athens,Super League 1,False,5.9
2736,237,Giuseppe Pezzella,22,€3.50m,20/21,Italy,€5.75m,Left-Back,Udinese,Serie A,Parma,Serie A,False,5.75
2737,238,Ivan Toney,24,€400k,20/21,"England, Jamaica",€5.60m,Centre-Forward,Peterborough,League One,Brentford,Championship,False,5.6
2738,239,Ali Al-Hassan,23,€475k,20/21,Saudi Arabia,€5.56m,Defensive Midfield,Al-Fateh,Saudi Pro League,Al-Nassr,Saudi Pro League,False,5.56
2739,240,Ali Lajami,24,€450k,20/21,Saudi Arabia,€5.56m,Centre-Back,Al-Fateh,Saudi Pro League,Al-Nassr,Saudi Pro League,False,5.56
2740,241,Zé Luís,29,€8.00m,20/21,"Cape Verde, Portugal",€5.50m,Centre-Forward,Porto,Liga NOS,Loko Moscow,Premier Liga,False,5.5
2741,242,François Kamano,24,€8.00m,20/21,Guinea,€5.50m,Left Winger,G. Bordeaux,Ligue 1,Loko Moscow,Premier Liga,False,5.5
2742,243,Albian Ajeti,23,€4.80m,20/21,Switzerland,€5.50m,Centre-Forward,West Ham,Premier League,Celtic,Premiership,False,5.5
2743,244,Harry Arter,30,€3.50m,20/21,"Ireland, England",€5.50m,Central Midfield,Bournemouth,Championship,Nott'm Forest,Championship,False,5.5
2744,245,Tiquinho Soares,29,€9.00m,20/21,"Brazil, Portugal",€5.40m,Centre-Forward,Porto,Liga NOS,TJ Jinmen Tiger,Super League,False,5.4
2745,246,Kévin Cabral,21,€1.80m,20/21,"France, Cape Verde",€5.40m,Left Winger,Valenciennes FC,Ligue 2,LA Galaxy,MLS,False,5.4
2746,247,Matías Palacios,18,€8.00m,20/21,"Argentina, United Arab Emirates",€5.23m,Attacking Midfield,San Lorenzo,Liga Profesional (- 23/24),Basel,Super League,False,5.23
2747,248,Mërgim Vojvoda,25,€4.00m,20/21,"Kosovo, Albania",€5.20m,Right-Back,Standard Liège,JPL,Torino,Serie A,False,5.2
2748,249,Orestis Karnezis,35,€500k,20/21,Greece,€5.13m,Goalkeeper,Napoli,Serie A,Lille,Ligue 1,False,5.13
2749,250,Sandro Tonali,20,€32.00m,20/21,Italy,"Loan fee:
€5.00m",Defensive Midfield,Brescia,Serie B,AC Milan,Serie A,True,5.0
2750,1,Jack Grealish,25,€65.00m,21/22,"England, Ireland",€117.50m,Left Winger,Aston Villa,Premier League,Man City,Premier League,False,117.5
2751,2,Romelu Lukaku,28,€100.00m,21/22,"Belgium, DR Congo",€113.00m,Centre-Forward,Inter,Serie A,Chelsea,Premier League,False,113.0
2752,3,Jadon Sancho,21,€100.00m,21/22,"England, Jamaica",€85.00m,Left Winger,Dortmund,Bundesliga,Man Utd,Premier League,False,85.0
2753,4,Dušan Vlahović,22,€70.00m,21/22,Serbia,€83.50m,Centre-Forward,Fiorentina,Serie A,Juventus,Serie A,False,83.5
2754,5,Achraf Hakimi,22,€60.00m,21/22,"Morocco, Spain",€68.00m,Right-Back,Inter,Serie A,PSG,Ligue 1,False,68.0
2755,6,Ben White,23,€28.00m,21/22,England,€58.50m,Right-Back,Brighton,Premier League,Arsenal,Premier League,False,58.5
2756,7,Ferran Torres,21,€45.00m,21/22,Spain,€55.00m,Centre-Forward,Man City,Premier League,Barcelona,LaLiga,False,55.0
2757,8,Luis Díaz,25,€40.00m,21/22,Colombia,€49.00m,Left Winger,Porto,Liga Portugal,Liverpool,Premier League,False,49.0
2758,9,Dayot Upamecano,22,€60.00m,21/22,"France, Guinea-Bissau",€42.50m,Centre-Back,Leipzig,Bundesliga,Bayern Munich,Bundesliga,False,42.5
2759,10,Bruno Guimarães,24,€30.00m,21/22,"Brazil, Spain",€42.10m,Central Midfield,Lyon,Ligue 1,Newcastle,Premier League,False,42.1
2760,11,Tammy Abraham,23,€38.00m,21/22,"England, Nigeria",€41.00m,Centre-Forward,Chelsea,Premier League,Roma,Serie A,False,41.0
2761,12,Raphaël Varane,28,€70.00m,21/22,"France, Martinique",€40.00m,Centre-Back,Real Madrid,LaLiga,Man Utd,Premier League,False,40.0
2762,13,Ibrahima Konaté,22,€35.00m,21/22,"France, Mali",€40.00m,Centre-Back,Leipzig,Bundesliga,Liverpool,Premier League,False,40.0
2763,14,Emiliano Buendía,24,€35.00m,21/22,"Argentina, Spain",€38.40m,Attacking Midfield,Norwich,Premier League,Aston Villa,Premier League,False,38.4
2764,15,Josko Gvardiol,19,€19.00m,21/22,Croatia,€36.80m,Centre-Back,Dinamo Zagreb,1. HNL,Leipzig,Bundesliga,False,36.8
2765,16,Fikayo Tomori,23,€28.00m,21/22,"England, Canada",€35.30m,Centre-Back,Chelsea,Premier League,AC Milan,Serie A,False,35.3
2766,17,Martin Ødegaard,22,€40.00m,21/22,Norway,€35.00m,Attacking Midfield,Real Madrid,LaLiga,Arsenal,Premier League,False,35.0
2767,18,Rodrigo De Paul,27,€38.00m,21/22,"Argentina, Italy",€35.00m,Central Midfield,Udinese,Serie A,Atlético,LaLiga,False,35.0
2768,19,Kurt Zouma,26,€32.00m,21/22,"France, Central African Republic",€35.00m,Centre-Back,Chelsea,Premier League,West Ham,Premier League,False,35.0
2769,20,Matheus Cunha,22,€30.00m,21/22,Brazil,€35.00m,Second Striker,Hertha BSC,Bundesliga,Atlético,LaLiga,False,35.0
2770,21,Leon Bailey,24,€35.00m,21/22,Jamaica,€32.00m,Right Winger,Leverkusen,Bundesliga,Aston Villa,Premier League,False,32.0
2771,22,Eduardo Camavinga,18,€55.00m,21/22,"France, Congo",€31.00m,Central Midfield,Stade Rennais,Ligue 1,Real Madrid,LaLiga,False,31.0
2772,23,Nikola Vlašić,23,€30.00m,21/22,Croatia,€30.00m,Attacking Midfield,CSKA Moscow,Premier Liga,West Ham,Premier League,False,30.0
2773,24,Lucas Digne,28,€30.00m,21/22,France,€30.00m,Left-Back,Everton,Premier League,Aston Villa,Premier League,False,30.0
2774,25,Donyell Malen,22,€30.00m,21/22,"Netherlands, Suriname",€30.00m,Right Winger,PSV,Eredivisie,Dortmund,Bundesliga,False,30.0
2775,26,Patson Daka,22,€22.00m,21/22,Zambia,€30.00m,Centre-Forward,Salzburg,Bundesliga,Leicester,Premier League,False,30.0
2776,27,Chris Wood,30,€6.00m,21/22,New Zealand,€30.00m,Centre-Forward,Burnley,Premier League,Newcastle,Premier League,False,30.0
2777,28,Danny Ings,29,€22.00m,21/22,England,€29.40m,Centre-Forward,Southampton,Premier League,Aston Villa,Premier League,False,29.4
2778,29,Joe Willock,21,€16.00m,21/22,"England, Montserrat",€29.40m,Central Midfield,Arsenal,Premier League,Newcastle,Premier League,False,29.4
2779,30,Daniel James,23,€18.00m,21/22,"Wales, England",€29.10m,Right Winger,Man Utd,Premier League,Leeds,Premier League,False,29.1
2780,31,Aaron Ramsdale,23,€12.00m,21/22,England,€28.00m,Goalkeeper,Sheff Utd,Championship,Arsenal,Premier League,False,28.0
2781,32,Nico González,23,€22.00m,21/22,"Argentina, Italy",€27.37m,Left Winger,Stuttgart,Bundesliga,Fiorentina,Serie A,False,27.37
2782,33,Marash Kumbulla,21,€25.00m,21/22,"Albania, Italy",€26.50m,Centre-Back,Hellas Verona,Serie A,Roma,Serie A,False,26.5
2783,34,Tino Livramento,18,-,21/22,"England, Scotland",€26.20m,Right-Back,Chelsea U23,Premier League 2,Southampton,Premier League,False,26.2
2784,35,Bryan Gil,20,€30.00m,21/22,Spain,€25.00m,Left Winger,Sevilla FC,LaLiga,Tottenham,Premier League,False,25.0
2785,36,Emerson Royal,22,€25.00m,21/22,Brazil,€25.00m,Right-Back,Barcelona,LaLiga,Tottenham,Premier League,False,25.0
2786,37,Yuri Alberto,20,€12.00m,21/22,Brazil,€25.00m,Centre-Forward,Internacional,Série A,Zenit S-Pb,Premier Liga,False,25.0
2787,38,Manuel Ugarte,20,€5.00m,21/22,Uruguay,€24.50m,Defensive Midfield,Famalicão,Liga Portugal,Sporting,Liga Portugal,False,24.5
2788,39,Vitaliy Mykolenko,22,€17.00m,21/22,Ukraine,€23.50m,Left-Back,Dynamo Kyiv,Premier Liga,Everton,Premier League,False,23.5
2789,40,Arnaut Danjuma,24,€15.00m,21/22,"Netherlands, Nigeria",€23.50m,Left Winger,Bournemouth,Championship,Villarreal,LaLiga,False,23.5
2790,41,Marc Guéhi,21,€10.00m,21/22,"England, Cote d'Ivoire",€23.34m,Centre-Back,Chelsea,Premier League,Crystal Palace,Premier League,False,23.34
2791,42,André Silva,25,€45.00m,21/22,Portugal,€23.00m,Centre-Forward,Frankfurt,Bundesliga,Leipzig,Bundesliga,False,23.0
2792,43,Enock Mwepu,23,€13.00m,21/22,Zambia,€23.00m,Central Midfield,Salzburg,Bundesliga,Brighton,Premier League,False,23.0
2793,44,Odilon Kossounou,20,€13.00m,21/22,Cote d'Ivoire,€23.00m,Centre-Back,Club Brugge,JPL,Leverkusen,Bundesliga,False,23.0
2794,45,Matteo Politano,27,€30.00m,21/22,Italy,€22.10m,Right Winger,Inter,Serie A,Napoli,Serie A,False,22.1
2795,46,Weston McKennie,22,€25.00m,21/22,United States,€21.90m,Central Midfield,FC Schalke 04,2. Bundesliga,Juventus,Serie A,False,21.9
2796,47,Julián Alvarez,22,€20.00m,21/22,"Argentina, Italy",€21.40m,Centre-Forward,River Plate,Liga Profesional (- 23/24),Man City,Premier League,False,21.4
2797,48,Juan Musso,27,€20.00m,21/22,"Argentina, Italy",€20.50m,Goalkeeper,Udinese,Serie A,Atalanta,Serie A,False,20.5
2798,49,Gerson,24,€20.00m,21/22,Brazil,€20.50m,Central Midfield,Flamengo,Série A,Marseille,Ligue 1,False,20.5
2799,50,Boubakary Soumaré,22,€28.00m,21/22,"France, Senegal",€20.00m,Defensive Midfield,Lille,Ligue 1,Leicester,Premier League,False,20.0
2800,51,Jhon Córdoba,28,€15.00m,21/22,Colombia,€20.00m,Centre-Forward,Hertha BSC,Bundesliga,Krasnodar,Premier Liga,False,20.0
2801,52,Eldor Shomurodov,26,€7.00m,21/22,Uzbekistan,€19.60m,Centre-Forward,Genoa,Serie A,Roma,Serie A,False,19.6
2802,53,Rodrigo Bentancur,24,€25.00m,21/22,Uruguay,€19.00m,Central Midfield,Juventus,Serie A,Tottenham,Premier League,False,19.0
2803,54,Takehiro Tomiyasu,22,€20.00m,21/22,Japan,€18.60m,Centre-Back,Bologna,Serie A,Arsenal,Premier League,False,18.6
2804,55,Angeliño,24,€35.00m,21/22,Spain,€18.00m,Left-Back,Man City,Premier League,Leipzig,Bundesliga,False,18.0
2805,56,Marc Cucurella,23,€20.00m,21/22,Spain,€18.00m,Left-Back,Getafe,LaLiga,Brighton,Premier League,False,18.0
2806,57,Pedrinho,23,€15.00m,21/22,Brazil,€18.00m,Right Winger,Benfica,Liga Portugal,Shakhtar D.,Premier Liga,False,18.0
2807,58,Matheus Pereira,25,€15.00m,21/22,"Brazil, Portugal",€18.00m,Attacking Midfield,West Brom,Championship,Al-Hilal,Saudi Pro League,False,18.0
2808,59,Adam Armstrong,24,€18.00m,21/22,England,€17.70m,Centre-Forward,Blackburn,Championship,Southampton,Premier League,False,17.7
2809,60,Jannik Vestergaard,29,€18.00m,21/22,"Denmark, Germany",€17.60m,Centre-Back,Southampton,Premier League,Leicester,Premier League,False,17.6
2810,61,Joachim Andersen,25,€22.00m,21/22,Denmark,€17.50m,Centre-Back,Lyon,Ligue 1,Crystal Palace,Premier League,False,17.5
2811,62,Wout Weghorst,29,€20.00m,21/22,Netherlands,€17.50m,Centre-Forward,Wolfsburg,Bundesliga,Burnley,Premier League,False,17.5
2812,63,Albert Sambi Lokonga,21,€12.00m,21/22,"Belgium, DR Congo",€17.50m,Central Midfield,RSC Anderlecht,JPL,Arsenal,Premier League,False,17.5
2813,64,Cristiano Ronaldo,36,€45.00m,21/22,Portugal,€17.00m,Centre-Forward,Juventus,Serie A,Man Utd,Premier League,False,17.0
2814,65,Cristian Romero,23,€35.00m,21/22,Argentina,€17.00m,Centre-Back,Juventus,Serie A,Atalanta,Serie A,False,17.0
2815,66,Roman Yaremchuk,25,€17.50m,21/22,Ukraine,€17.00m,Centre-Forward,KAA Gent,JPL,Benfica,Liga Portugal,False,17.0
2816,67,Myron Boadu,20,€14.00m,21/22,"Netherlands, Ghana",€17.00m,Centre-Forward,AZ Alkmaar,Eredivisie,Monaco,Ligue 1,False,17.0
2817,68,Loïc Badé,21,€12.00m,21/22,"France, Cote d'Ivoire",€17.00m,Centre-Back,Lens,Ligue 1,Stade Rennais,Ligue 1,False,17.0
2818,69,Kamaldeen Sulemana,19,€9.00m,21/22,Ghana,€17.00m,Left Winger,Nordsjaelland,Superliga,Stade Rennais,Ligue 1,False,17.0
2819,70,Pape Matar Sarr,18,€10.00m,21/22,Senegal,€16.90m,Central Midfield,FC Metz,Ligue 1,Tottenham,Premier League,False,16.9
2820,71,Ilaix Moriba,18,€25.00m,21/22,"Guinea, Spain",€16.60m,Central Midfield,Barcelona,LaLiga,Leipzig,Bundesliga,False,16.6
2821,72,Jean-Clair Todibo,21,€12.00m,21/22,"France, French Guiana",€16.50m,Centre-Back,Barcelona,LaLiga,Nice,Ligue 1,False,16.5
2822,73,Mike Maignan,26,€25.00m,21/22,"France, French Guiana",€16.40m,Goalkeeper,Lille,Ligue 1,AC Milan,Serie A,False,16.4
2823,74,Ricardo Pepi,18,€8.00m,21/22,"United States, Mexico",€16.36m,Centre-Forward,Dallas,MLS,Augsburg,Bundesliga,False,16.36
2824,75,Odsonne Édouard,23,€17.00m,21/22,"France, Haiti",€16.30m,Centre-Forward,Celtic,Premiership,Crystal Palace,Premier League,False,16.3
2825,76,Zinho Vanheusden,21,€12.00m,21/22,Belgium,€16.20m,Centre-Back,Standard Liège,JPL,Inter,Serie A,False,16.2
2826,77,Danilo Pereira,29,€20.00m,21/22,"Portugal, Guinea-Bissau",€16.00m,Centre-Back,Porto,Liga Portugal,PSG,Ligue 1,False,16.0
2827,78,Hamed Traoré,21,€20.00m,21/22,Cote d'Ivoire,€16.00m,Left Winger,FC Empoli,Serie A,Sassuolo,Serie A,False,16.0
2828,79,Rafa Mir,24,€12.00m,21/22,Spain,€16.00m,Centre-Forward,Wolves,Premier League,Sevilla FC,LaLiga,False,16.0
2829,80,Kristoffer Ajer,23,€7.00m,21/22,Norway,€15.70m,Centre-Back,Celtic,Premiership,Brentford,Premier League,False,15.7
2830,81,Arthur Cabral,23,€15.00m,21/22,Brazil,€15.50m,Centre-Forward,Basel,Super League,Fiorentina,Serie A,False,15.5
2831,82,Jonathan Ikoné,23,€22.00m,21/22,"France, DR Congo",€15.40m,Right Winger,Lille,Ligue 1,Fiorentina,Serie A,False,15.4
2832,83,Pepê,24,€13.00m,21/22,"Brazil, Italy",€15.40m,Right Winger,Grêmio,Série A,Porto,Liga Portugal,False,15.4
2833,84,Marcel Sabitzer,27,€42.00m,21/22,Austria,€15.00m,Central Midfield,Leipzig,Bundesliga,Bayern Munich,Bundesliga,False,15.0
2834,85,Mohamed Simakan,21,€18.00m,21/22,"France, Guinea",€15.00m,Centre-Back,R. Strasbourg,Ligue 1,Leipzig,Bundesliga,False,15.0
2835,86,Gaëtan Laborde,27,€15.00m,21/22,France,€15.00m,Centre-Forward,Montpellier,Ligue 1,Stade Rennais,Ligue 1,False,15.0
2836,87,Romain Faivre,23,€15.00m,21/22,"France, Algeria",€15.00m,Attacking Midfield,Stade Brestois,Ligue 1,Lyon,Ligue 1,False,15.0
2837,88,Calvin Stengs,22,€14.00m,21/22,"Netherlands, Suriname",€15.00m,Attacking Midfield,AZ Alkmaar,Eredivisie,Nice,Ligue 1,False,15.0
2838,89,Gregor Kobel,23,€13.00m,21/22,Switzerland,€15.00m,Goalkeeper,Stuttgart,Bundesliga,Dortmund,Bundesliga,False,15.0
2839,90,Maxwel Cornet,24,€12.00m,21/22,"Cote d'Ivoire, France",€15.00m,Left Winger,Lyon,Ligue 1,Burnley,Premier League,False,15.0
2840,91,Benjamin Henrichs,24,€12.00m,21/22,"Germany, Ghana",€15.00m,Right-Back,Monaco,Ligue 1,Leipzig,Bundesliga,False,15.0
2841,92,Juan Foyth,23,€12.00m,21/22,"Argentina, Spain",€15.00m,Centre-Back,Tottenham,Premier League,Villarreal,LaLiga,False,15.0
2842,93,Junior Firpo,24,€8.00m,21/22,"Dominican Republic, Spain",€15.00m,Left-Back,Barcelona,LaLiga,Leeds,Premier League,False,15.0
2843,94,Dan Burn,29,€3.50m,21/22,England,€15.00m,Centre-Back,Brighton,Premier League,Newcastle,Premier League,False,15.0
2844,95,Thiago Almada,20,€20.00m,21/22,Argentina,€14.50m,Left Winger,Vélez Sarsfield,Liga Profesional (- 23/24),Atlanta,MLS,False,14.5
