,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
138,139,Nenê,29,€10.00m,10/11,"Brazil, Spain",€5.00m,Attacking Midfield,Monaco,Ligue 1,PSG,Ligue 1,False,5.0
139,140,Patrick Helmes,26,€8.50m,10/11,Germany,€5.00m,Centre-Forward,Leverkusen,Bundesliga,Wolfsburg,Bundesliga,False,5.0
140,141,Mounir El Hamdaoui,25,€7.50m,10/11,"Morocco, Netherlands",€5.00m,Centre-Forward,AZ Alkmaar,Eredivisie,Ajax,Eredivisie,False,5.0
141,142,Senijad Ibricic,25,€6.50m,10/11,"Bosnia-Herzegovina, Croatia",€5.00m,Attacking Midfield,Hajduk Split,SuperSport HNL,Loko Moskau,Premier Liga,False,5.0
142,143,Alexis Ruano,25,€6.00m,10/11,Spain,€5.00m,Centre-Back,Valencia,LaLiga,Sevilla FC,LaLiga,False,5.0
143,144,Aristide Bancé,25,€5.50m,10/11,"Burkina Faso, Cote d'Ivoire",€5.00m,Centre-Forward,Mainz,Bundesliga,Al-Ahli (UAE),UAE Pro League,False,5.0
144,145,Alberto Paloschi,20,€5.00m,10/11,Italy,€5.00m,Centre-Forward,Genoa,Serie A,AC Milan,Serie A,False,5.0
145,146,Diego Tardelli,25,€4.50m,10/11,"Brazil, Italy",€5.00m,Centre-Forward,Atlético-MG,Série A,Anzhi,Premier Liga,False,5.0
146,147,Bogdan Stancu,23,€3.70m,10/11,Romania,€5.00m,Centre-Forward,Steaua Bucharest,Liga 1,Galatasaray,Süper Lig,False,5.0
147,148,Razak Boukari,23,€3.60m,10/11,"Togo, France",€5.00m,Right Winger,Lens,Ligue 1,Stade Rennais,Ligue 1,False,5.0
148,149,Anders Lindegaard,26,€3.20m,10/11,Denmark,€5.00m,Goalkeeper,Aalesund,Tippeligaen,Man Utd,Premier League,False,5.0
149,150,Chico Flores,23,€3.00m,10/11,Spain,€5.00m,Centre-Back,UD Almería,LaLiga,Genoa,Serie A,False,5.0
150,151,Jonathan Cristaldo,21,€3.00m,10/11,Argentina,€5.00m,Centre-Forward,Vélez Sarsfield,Clausura,Metalist Kharkiv,Premier Liga,False,5.0
151,152,Ezequiel Muñoz,19,€1.50m,10/11,"Argentina, Italy",€5.00m,Centre-Back,Boca Juniors,Clausura,US Palermo,Serie A,False,5.0
152,153,Shamil Lakhiyalov,31,€1.00m,10/11,Russia,€5.00m,Second Striker,Krasnodar,Premier Liga,Anzhi,Premier Liga,False,5.0
153,154,Pablo González,25,€400k,10/11,"Argentina, Italy",€5.00m,Centre-Forward,Novara,Serie B,US Palermo,Serie A,False,5.0
154,155,Nikica Jelavic,24,€2.50m,10/11,Croatia,€4.90m,Centre-Forward,Rapid Vienna,Bundesliga,Rangers,Premiership,False,4.9
155,156,Pablo Barrera,23,€3.50m,10/11,Mexico,€4.80m,Right Winger,UNAM Pumas,Primera Apertura,West Ham,Premier League,False,4.8
156,157,Jean Beausejour,26,€2.50m,10/11,"Chile, Haiti",€4.80m,Left-Back,América,Primera Apertura,Birmingham,Premier League,False,4.8
157,158,Robert Lewandowski,21,€4.50m,10/11,Poland,€4.75m,Centre-Forward,Lech Poznan,Ekstraklasa,Dortmund,Bundesliga,False,4.75
158,159,Guido Marilungo,21,€4.00m,10/11,Italy,€4.70m,Centre-Forward,Sampdoria,Serie A,Atalanta,Serie B,False,4.7
159,160,Daniel Osvaldo,24,€4.00m,10/11,"Italy, Argentina",€4.60m,Centre-Forward,Bologna,Serie A,Espanyol,LaLiga,False,4.6
160,161,Fabio Quagliarella,27,€14.00m,10/11,Italy,"Loan fee:
€4.50m",Centre-Forward,Napoli,Serie A,Juventus,Serie A,True,4.5
161,162,Lorik Cana,26,€12.00m,10/11,"Albania, France",€4.50m,Defensive Midfield,Sunderland,Premier League,Galatasaray,Süper Lig,False,4.5
162,163,Gaetano D'Agostino,28,€10.00m,10/11,Italy,€4.50m,Central Midfield,Udinese,Serie A,Fiorentina,Serie A,False,4.5
163,164,Zvjezdan Misimovic,28,€9.00m,10/11,"Bosnia-Herzegovina, Germany",€4.50m,Attacking Midfield,Galatasaray,Süper Lig,Dinamo Moscow,Premier Liga,False,4.5
164,165,Barreto,24,€8.00m,10/11,"Brazil, Italy",€4.50m,Second Striker,Udinese,Serie A,Bari,Serie A,False,4.5
165,166,Eduardo,27,€7.80m,10/11,Portugal,€4.50m,Goalkeeper,Braga,Liga ZON Sagres,Genoa,Serie A,False,4.5
166,167,Tuncay Şanlı,29,€6.50m,10/11,Türkiye,€4.50m,Left Winger,Stoke City,Premier League,Wolfsburg,Bundesliga,False,4.5
167,168,Sokratis,22,€5.00m,10/11,Greece,€4.50m,Centre-Back,Genoa,Serie A,AC Milan,Serie A,False,4.5
